Neighborhood,White (Non-Hispanic) 2000,White (Non-Hispanic) 2006-2010,Black (Non-Hispanic) 2000,Black (Non-Hispanic) 2006-2010,Hispanic or Latino (of Any Race) 2000,Hispanic or Latino (of Any Race) 2006-2010,Asian (Non-Hispanic) 2000,Asian (Non-Hispanic) 2006-2010,Other/Multiple Races (Non-Hispanic) 2000,Other/Multiple Races (Non-Hispanic) 2006-2010
Albany Park,27.5,27.9,3.3,3.7,46.4,53.1,17.7,13.3,5.1,2
Archer Heights,53.4,25.1,0.6,1,43.4,73.3,0.4,0,2.3,0.6
Armour Square,17.1,15.1,17,10.9,3.7,4.5,60.7,66.6,1.4,2.9
Ashburn,36.7,16.2,43.1,50.6,16.9,31.3,1,1.1,2.3,0.8
Auburn Gresham,0.4,0.4,98.1,98.2,0.6,0.8,0.1,0.1,0.8,0.5
Austin,4.8,5.2,89.7,85.8,4.1,7.8,0.5,0.4,0.9,0.8
Avalon Park,0.9,1.7,97,96.8,0.8,0.2,0.2,0.2,1.2,1.1
Avondale,29.6,27.2,1.6,2.5,62,64.9,2.2,3.3,4.7,2.1
Belmont Cragin,28,16.6,2.6,5.4,65.1,75.1,2.5,1.4,1.8,1.5
Beverly,62.8,60.9,31.9,33.1,2.9,4.1,0.6,0.4,1.9,1.5
Bridgeport,41,35.6,1.1,1.4,30.2,26.3,26.1,35.6,1.6,1.2
Brighton Park,18.5,10.1,0.5,1,76.6,83.2,2.9,5.3,1.5,0.4
Burnside,1.2,2.2,96.5,97.8,1,0,0.2,0,1,0
Calumet Heights,1.3,0.9,92.8,95,4.7,3.4,0.2,0.5,1.1,0.2
Chatham,0.3,0.3,98,97.5,0.6,0.3,0.1,0.4,1,1.5
Chicago Lawn,10.1,4.7,52.5,55.5,35.1,38.5,0.6,0.5,1.7,0.9
Clearing,76.3,51.5,0.6,1.2,21,46,0.7,0.8,1.4,0.5
Douglas,6.6,12.2,85.5,75.9,1.1,1.9,5.3,9.1,1.5,0.9
Dunning,81.6,71.5,0.6,1.2,12.9,21.1,3.1,5.2,1.8,1
East Garfield Park,1.1,3.6,97.2,92.2,1,2.4,0.1,0.7,0.6,1.2
East Side,29.4,16.8,1,1.9,68.1,80.8,0.2,0.2,1.2,0.3
Edgewater,47.9,55.7,17,14.7,19.6,14.3,11.5,12.2,4,3
Edison Park,93.3,91.3,0.2,0,4.1,5.4,1.8,2.4,0.7,1
Englewood,0.4,0.6,97.8,98.5,0.9,0.4,0.1,0,0.8,0.4
Forest Glen,81.4,71.4,0.4,1.8,7.6,14.2,8.7,11.6,1.8,1.1
Fuller Park,0.5,3.2,94.3,92.7,3.4,2.2,0.2,0.8,1.6,1.1
Gage Park,12.3,5.2,7,4.8,79.3,89.2,0.4,0.4,1,0.5
Garfield Ridge,68.9,53.8,12.2,7.4,16.5,36.3,0.9,2,1.5,0.4
Grand Boulevard,0.6,2.8,97.7,94.5,0.8,1.4,0.1,0.1,0.7,1.1
Greater Grand Crossing,0.4,0.6,97.8,97.1,0.7,1.4,0.1,0.1,1,0.7
Hegewisch,67,43.2,1.3,7.1,28.8,49,0.3,0.2,2.5,0.5
Hermosa,11.5,9.2,2.4,1.6,83.9,87,1.2,1.7,1,0.6
Humboldt Park,3.3,4.5,47.4,42,48,51.9,0.4,0.5,0.9,1.1
Hyde Park,43.5,47.7,37.7,33.3,4.1,6.8,11.2,10.5,3.4,1.8
Irving Park,44.2,43.5,1.9,3.5,43.3,43.6,7.4,7.6,3.1,1.8
Jefferson Park,81.6,68.3,0.3,1,11.1,21.5,4.8,7.9,2.2,1.2
Kenwood,15.9,16.1,75.7,72,1.6,2.2,4.3,7.3,2.5,2.4
Lake View,79.5,79.3,4.4,3.7,8.7,8.9,5.4,6.4,2,1.6
Lincoln Park,84.5,82,5.2,4.7,5.1,5.6,3.6,6,1.7,1.7
Lincoln Square,53.2,63.3,3,4.9,26.5,16.6,13.3,12.3,4,2.9
Logan Square,26.3,37.6,5.2,6.9,65.1,50.9,1.3,3.1,2.1,1.5
Lower West Side,8.1,13.4,1.8,2.8,88.9,82.2,0.3,0.6,0.9,1.1
McKinley Park,28.9,21.1,0.7,1.3,61.5,60.7,7.6,16.2,1.3,0.7
Montclare,54.5,43.5,2.1,4,38.5,49,2.7,2.8,2.3,0.8
Morgan Park,29.8,31.3,66.7,65.1,2.1,2,0.3,0.7,1.1,0.9
Mount Greenwood,91,87.1,3.6,5.4,3.8,7.2,0.3,0,1.3,0.3
Near North Side,69.2,72.3,19.1,11.5,3.9,5.1,6.1,9.3,1.8,1.8
Near South Side,25.2,43.6,63.6,35.5,4,5.2,5.4,13.6,1.8,2.2
Near West Side,25.3,40,52.9,35.4,9.5,8,10.5,14.2,1.9,2.4
New City,13.1,13.7,35.3,31.5,50.2,52.1,0.3,1.5,1.1,1.2
North Center,68.8,77.9,4.2,2.8,20.4,11.9,4.2,4.8,2.5,2.7
North Lawndale,0.9,1.7,93.8,92,4.5,5.3,0.1,0.2,0.6,0.8
North Park,55.8,48.1,2.4,2.6,14.3,17.5,23.8,28.3,3.6,3.5
Norwood Park,88.4,80.5,0.9,0.5,6.4,14,3.2,4.5,1.1,0.4
O'Hare,81.3,78,2.1,1.1,6.5,11.8,7.4,8.5,2.6,0.6
Oakland,0.7,3.2,97.5,92.6,0.9,2.3,0.1,0.9,0.8,1
Portage Park,69.5,53.5,0.5,1.9,23,37.7,3.8,4.8,3.2,2.1
Pullman,8.5,7.2,81.4,83.9,8.9,8.9,0.2,0,1,0
Riverdale,0.7,0.3,96.6,97.7,1.6,1.3,0.1,0.7,1,0
Rogers Park,31.8,38,29.6,28.2,27.8,24.7,6.4,5.7,4.5,3.4
Roseland,0.5,0.6,97.8,97.7,0.7,0.6,0.1,0.1,0.9,1.1
South Chicago,2.9,2.6,68,72.9,27.4,23.8,0.1,0.1,1.5,0.6
South Deering,7.6,7,60.8,59.3,30.5,32.2,0,0.2,1.1,1.3
South Lawndale,3.5,4.4,12.9,14.5,83,80.9,0.1,0,0.4,0.1
South Shore,1.1,1.2,96.5,96.1,1,1.1,0.1,0.3,1.2,1.4
The Loop,62.1,66.8,19.7,10.4,5.9,4.5,9.9,15.8,2.4,2.5
Uptown,42.1,50.2,21.1,19,19.9,15.5,12.9,13.1,3.9,2.3
Washington Heights,0.6,0.5,97.5,96.7,0.8,1.1,0,0.1,1,1.6
Washington Park,0.5,0.2,97.5,97.9,0.9,1.4,0,0.1,1,0.5
West Elsdon,46.9,20.6,0.5,1.9,49.5,75,0.9,1.9,2.4,0.6
West Englewood,0.4,0.7,97.8,96.2,1,1.8,0.1,0.1,0.8,1.2
West Garfield Park,0.6,0.9,98,97.6,0.9,1,0.1,0,0.4,0.5
West Lawn,42.9,19.1,2.6,3.2,51.9,76.2,0.9,0.2,1.7,1.3
West Pullman,0.9,0.6,93.5,94.5,4.6,4.3,0,0,0.9,0.6
West Ridge,49.7,43.2,6.8,10.2,15.5,21.4,22.3,22.5,5.6,2.6
West Town,39.4,56.7,9.1,9.1,46.9,29.2,1.7,3.6,2.9,1.4
Woodlawn,2.8,6.3,94.2,88.4,1.1,2.1,0.8,1.6,1.2,1.5