Neighborhood,DiversityScore,CAs
Edison Park,1,9
Mount Greenwood,1,74
Norwood Park,1,10
Lincoln Park,1,7
Dunning,1,17
Jefferson Park,1,11
Forest Glen,1,12
O'Hare,1,76
Lake View,1,6
Clearing,1,64
Portage Park,1,15
Near North Side,1,8
Garfield Ridge,1,56
North Center,1,5
Hegewisch,1,55
Beverly,1,72
Loop,2,32
North Park,2,13
Montclaire,2,18
Archer Heights,2,57
Lincoln Square,2,4
West Ridge,2,2
Edgewater,2,77
West Elsdon,2,62
Irving Park,2,16
Hyde Park,2,41
West Lawn,2,65
Uptown,2,3
Bridgeport,2,60
West Town,2,24
Ashburn,2,70
Rogers Park,3,1
Morgan Park,3,75
Avondale,3,21
East Side,3,52
McKinley Park,3,59
Belmont Cragin,3,19
Albany Park,3,14
Logan Square,3,22
Near West Side,3,28
Near South Side,3,33
Brighton Park,3,58
Armour Square,3,34
Kenwood,3,39
New City,3,61
Gage Park,3,63
Hermosa,4,20
Chicago Lawn,4,66
Pullman,4,50
Lower West Side,4,31
South Deering,4,51
Douglas,4,35
Austin,4,25
South Lawndale,4,30
Humboldt Park,4,23
South Chicago,4,46
Woodlawn,4,42
Calumet Heights,4,48
Burnside,4,47
East Garfield Park,4,27
South Shore,4,43
Avalon Park,5,45
North Lawndale,5,29
West Pullman,5,53
Oakland,5,36
Riverdale,5,54
Grand Boulevard,5,38
Washington Heights,5,73
West Garfield Park,5,26
Fuller Park,5,37
Roseland,5,49
Washington Park,5,40
Auburn Gresham,5,71
Englewood,5,68
Greater Grand Crossing,5,69
West Englewood,5,67
Chatham,5,44